Company,Headline,Link
HCL Technologies,Mutual Funds,
HCL Technologies,Tools,
HCL Technologies,Community,
HCL Technologies,Network 18 Sites,
HCL Technologies,Quick Links,
HCL Technologies,You got30 Day’s Trialof,
Tech Mahindra,Competition to Coopetition: IT firms account for nearly 30% of India’s GCC tech workforce,https://www.moneycontrol.com/news/business/information-technology/competition-to-coopetition-it-firms-account-for-nearly-30-of-india-s-gcc-tech-workforce-13931548.html
Tech Mahindra,"Trade Spotlight: How should you trade Kotak Mahindra Bank, Dr Reddys Labs, Tech Mahindra, Infosys, GE Shipping, and others on May 19?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-how-should-you-trade-kotak-mahindra-bank-dr-reddys-labs-tech-mahindra-infosys-ge-shipping-and-others-on-may-19-13923163.html
Tech Mahindra,Massive fire breaks at Tech Mahindra campus in Chennai,https://www.moneycontrol.com/news/business/information-technology/massive-fire-breaks-at-tech-mahindra-campus-in-chennai-13920669.html
Tech Mahindra,"Trade Spotlight: How should you trade HPCL, NALCO, Hindalco Industries, Hindustan Copper, Sharda Cropchem, and others on May 14?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-how-should-you-trade-hpcl-nalco-hindalco-industries-hindustan-copper-sharda-cropchem-and-others-on-may-14-13918110.html
Tech Mahindra,"Tech Mahindra to acquire Canadian firm Avant, initially pay Rs 171 crore for 85% stake",https://www.moneycontrol.com/news/business/companies/tech-mahindra-to-acquire-canadian-firm-avant-initially-pay-rs-171-crore-for-85-stake-13905017.html
Tech Mahindra,"HCLTech, Wipro, Tech Mahindra, Persistent recheck harassment safeguards after TCS Nashik case",https://www.moneycontrol.com/news/business/information-technology/hcltech-wipro-tech-mahindra-persistent-recheck-harassment-safeguards-after-tcs-nashik-case-13903119.html
Tech Mahindra,"Tech Mahindra Consolidated March 2026 Net Sales at Rs 15,076.10 crore, up 12.64% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/tech-mahindra-consolidated-march-2026-net-sales-at-rs-15076-10-crore-up-12-64-y-o-y-13900655.html
Tech Mahindra,"Tech Mahindra Standalone March 2026 Net Sales at Rs 12,956.50 crore, up 11.85% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/tech-mahindra-standalone-march-2026-net-sales-at-rs-12956-50-crore-up-11-85-y-o-y-13900547.html
Tech Mahindra,"TCS, Infosys, HCLTech, Wipro, Tech M report muted FY26 hiring; workforce shrinks by 7,389",https://www.moneycontrol.com/news/business/information-technology/tcs-infosys-hcltech-wipro-tech-m-report-muted-fy26-hiring-workforce-shrinks-by-7-389-13899069.html
Tech Mahindra,Buy Tech Mahindra; target of Rs 1750: Motilal Oswal,https://www.moneycontrol.com/news/business/buy-tech-mahindra-target-of-rs-1750-motilal-oswal-13897825.html
Tech Mahindra,Buy Tech Mahindra; target of Rs 1700: Choice Institutional Equities,https://www.moneycontrol.com/news/business/stocks/buy-tech-mahindra-target-of-rs-1700-choice-institutional-equities-13897471.html
Tech Mahindra,Reduce Tech Mahindra; target of Rs 1450: Emkay Global Financial,https://www.moneycontrol.com/news/business/stocks/reduce-tech-mahindra-target-of-rs-1450-emkay-global-financial-13897373.html
